,Case930
anual_heating_load,3.9204783151819007
anual_cooling_load,1.6409907028518846
maximum_heating_load,3.5074244973721473
maximum_cooling_load,2.27894715393087
solar_radiation_N,432.13421939075727
solar_radiation_E,910.4387278169155
solar_radiation_W,799.611674070242
solar_radiation_S,1544.978896673862
solar_radiation_H,1840.06074216252
solar_transitted,523.6516625991751
transmissivity_coefficient,0.33893774453911885
solar_radiation_March_5_south_0,0.0
solar_radiation_March_5_south_1,0.0
solar_radiation_March_5_south_2,0.0
solar_radiation_March_5_south_3,0.0
solar_radiation_March_5_south_4,0.0
solar_radiation_March_5_south_5,0.0
solar_radiation_March_5_south_6,4.139205883321934
solar_radiation_March_5_south_7,19.906615707371852
solar_radiation_March_5_south_8,35.47891943391977
solar_radiation_March_5_south_9,48.98374361706611
solar_radiation_March_5_south_10,58.449624348728605
solar_radiation_March_5_south_11,63.72758371379906
solar_radiation_March_5_south_12,63.46918981943036
solar_radiation_March_5_south_13,57.16388962970594
solar_radiation_March_5_south_14,46.14035878112124
solar_radiation_March_5_south_15,31.726053230763547
solar_radiation_March_5_south_16,15.642315521327458
solar_radiation_March_5_south_17,2.6701979412288
solar_radiation_March_5_south_18,0.0
solar_radiation_March_5_south_19,0.0
solar_radiation_March_5_south_20,0.0
solar_radiation_March_5_south_21,0.0
solar_radiation_March_5_south_22,0.0
solar_radiation_March_5_south_23,0.0
solar_radiation_March_5_west_0,0.0
solar_radiation_March_5_west_1,0.0
solar_radiation_March_5_west_2,0.0
solar_radiation_March_5_west_3,0.0
solar_radiation_March_5_west_4,0.0
solar_radiation_March_5_west_5,0.0
solar_radiation_March_5_west_6,3.125955243130848
solar_radiation_March_5_west_7,14.895218090398764
solar_radiation_March_5_west_8,26.36450017836095
solar_radiation_March_5_west_9,36.45191428283549
solar_radiation_March_5_west_10,43.42355818665592
solar_radiation_March_5_west_11,46.75781177535491
solar_radiation_March_5_west_12,46.73797506416401
solar_radiation_March_5_west_13,42.66427396075353
solar_radiation_March_5_west_14,34.98202800670036
solar_radiation_March_5_west_15,24.50035768936003
solar_radiation_March_5_west_16,12.328381309679664
solar_radiation_March_5_west_17,2.07814624129005
solar_radiation_March_5_west_18,0.0
solar_radiation_March_5_west_19,0.0
solar_radiation_March_5_west_20,0.0
solar_radiation_March_5_west_21,0.0
solar_radiation_March_5_west_22,0.0
solar_radiation_March_5_west_23,0.0
solar_radiation_July_27_south_0,0.0
solar_radiation_July_27_south_1,0.0
solar_radiation_July_27_south_2,0.0
solar_radiation_July_27_south_3,0.0
solar_radiation_July_27_south_4,2.8637133784777102
solar_radiation_July_27_south_5,35.65719261662521
solar_radiation_July_27_south_6,90.29256060623275
solar_radiation_July_27_south_7,136.1384494670678
solar_radiation_July_27_south_8,256.0580480539545
solar_radiation_July_27_south_9,377.0923825408682
solar_radiation_July_27_south_10,449.955526625703
solar_radiation_July_27_south_11,468.9700317127033
solar_radiation_July_27_south_12,458.4652235938679
solar_radiation_July_27_south_13,395.7751632343011
solar_radiation_July_27_south_14,298.2775405350967
solar_radiation_July_27_south_15,170.25919048004977
solar_radiation_July_27_south_16,80.37041320136447
solar_radiation_July_27_south_17,52.38697116258881
solar_radiation_July_27_south_18,15.185447700664072
solar_radiation_July_27_south_19,0.0
solar_radiation_July_27_south_20,0.0
solar_radiation_July_27_south_21,0.0
solar_radiation_July_27_south_22,0.0
solar_radiation_July_27_south_23,0.0
solar_radiation_July_27_west_0,0.0
solar_radiation_July_27_west_1,0.0
solar_radiation_July_27_west_2,0.0
solar_radiation_July_27_west_3,0.0
solar_radiation_July_27_west_4,2.214645151923462
solar_radiation_July_27_west_5,27.67923621590299
solar_radiation_July_27_west_6,72.22182434120501
solar_radiation_July_27_west_7,106.9954330924028
solar_radiation_July_27_west_8,125.27987669584216
solar_radiation_July_27_west_9,134.02810136564028
solar_radiation_July_27_west_10,134.1111250457838
solar_radiation_July_27_west_11,129.22909260719027
solar_radiation_July_27_west_12,204.5090829113664
solar_radiation_July_27_west_13,348.5492813201551
solar_radiation_July_27_west_14,490.2565093862487
solar_radiation_July_27_west_15,553.5068087492043
solar_radiation_July_27_west_16,430.3496413956572
solar_radiation_July_27_west_17,134.6456050140579
solar_radiation_July_27_west_18,21.563837044747412
solar_radiation_July_27_west_19,0.0
solar_radiation_July_27_west_20,0.0
solar_radiation_July_27_west_21,0.0
solar_radiation_July_27_west_22,0.0
solar_radiation_July_27_west_23,0.0
hourly_heatload_winter_0,3.2917180825553767
hourly_heatload_winter_1,3.3748784919499357
hourly_heatload_winter_2,3.4001107497510508
hourly_heatload_winter_3,3.43408358363977
hourly_heatload_winter_4,3.4627306875510544
hourly_heatload_winter_5,3.480398327517018
hourly_heatload_winter_6,3.5074244973721473
hourly_heatload_winter_7,3.440369525223293
hourly_heatload_winter_8,3.111481894874393
hourly_heatload_winter_9,2.882379507541874
hourly_heatload_winter_10,2.724537251018648
hourly_heatload_winter_11,2.6183169599835603
hourly_heatload_winter_12,2.5428931998516457
hourly_heatload_winter_13,2.4027126286324414
hourly_heatload_winter_14,2.2028713190625813
hourly_heatload_winter_15,2.1192032589708036
hourly_heatload_winter_16,2.349883291572853
hourly_heatload_winter_17,2.631265456240523
hourly_heatload_winter_18,2.750781834786823
hourly_heatload_winter_19,2.8014258117572095
hourly_heatload_winter_20,2.866530363491406
hourly_heatload_winter_21,2.913309325921317
hourly_heatload_winter_22,2.917516909086537
hourly_heatload_winter_23,2.934423326919136
